response,response_label,unit,contrast,cover_value,cover_label,n_runs,median,lower,upper
Evapo,ET,mm,PF - SF[i],0.75,75% cover,15,0.131499907945809,-2.59019916512038,0.91276594022474
Evapo,ET,mm,PF - SF[i],0.75,75% cover,16,0,-3.10930714358086,1.34049338540801
Evapo,ET,mm,PF - SF[i],0.75,75% cover,17,0.131499907945809,-2.59019916512038,0.890253969425615
Evapo,ET,mm,PF - SF[i],0.75,75% cover,18,0,-2.52489473478403,0.874248104961254
Evapo,ET,mm,PF - SF[i],0.75,75% cover,19,0.131499907945809,-2.45959030444769,0.859042533720124
Evapo,ET,mm,PF - SF[i],0.75,75% cover,20,0.0185607016228531,-2.47816193002353,0.874248104961254
Evapo,ET,mm,PF - SF[i],0.75,75% cover,21,0.131499907945809,-2.45959030444769,0.859042533720124
Evapo,ET,mm,PF - SF[i],0.75,75% cover,22,0,-2.41285749968719,0.605319297318742
Evapo,ET,mm,PF - SF[i],0.75,75% cover,23,0.131499907945809,-2.36612469492668,0.858242240496907
Evapo,ET,mm,PF - SF[i],0.75,75% cover,24,0,-1.93381276705839,0.598423686866369
Evapo,ET,mm,PF - SF[i],0.75,75% cover,25,0.131499907945809,-1.52083821135145,0.338605133235816
Evapo,ET,mm,PF - SF[i],0.75,75% cover,26,0,-1.93264444693938,0.272173923836505
Evapo,ET,mm,PF - SF[i],0.75,75% cover,27,0.131499907945809,-1.49916419895209,0.205742714437207
